query,target,fident,alnlen,mismatch,gapopen,qstart,qend,tstart,tend,evalue,bits,alntmscore,query_uniprot,target_uniprot,query_gene,target_gene,target_organism
AF-A0A1E3M3N6-F1-model_v4,AF-Q8N4T8-2-F1-model_v6,0.309,181,122,1,7,187,2,179,2.273e-16,617,0.9783,A0A1E3M3N6,Q8N4T8,,CBR4,9606
AF-A0A1E3MAD1-F1-model_v4,AF-P16930-F1-model_v6,0.55,420,186,2,6,423,1,419,5.878e-66,2542,0.9782,A0A1E3MAD1,P16930,,FAH,9606
AF-V5VEC1-F1-model_v4,AF-Q96CM8-F1-model_v6,0.44,559,306,5,6,558,58,615,3.394e-85,3078,0.978,V5VEC1,Q96CM8,fadD_2,ACSF2,9606
AF-A0A1E3M3F1-F1-model_v4,AF-O94788-3-F1-model_v6,0.36,488,305,5,1,483,7,492,4.368e-59,2302,0.978,A0A1E3M3F1,O94788,gabD,ALDH1A2,9606
AF-A0A0G4QV38-F1-model_v4,AF-Q9UKU7-2-F1-model_v6,0.297,262,180,3,117,377,27,285,1.501e-18,863,0.9777,A0A0G4QV38,Q9UKU7,,ACAD8,9606
AF-V5V8Q5-F1-model_v4,AF-P42357-3-F1-model_v6,0.454,407,218,2,98,500,1,407,4.1750000000000006e-36,1713,0.9775,V5V8Q5,P42357,hutH,HAL,9606
AF-A0A098SI56-F1-model_v4,AF-O94788-4-F1-model_v6,0.367,427,262,5,60,484,1,421,4.258e-52,2006,0.9773,A0A098SI56,O94788,,ALDH1A2,9606
AF-A0A1E3M554-F1-model_v4,AF-Q9HAC7-F1-model_v6,0.414,410,227,3,2,409,39,437,1.768e-49,1835,0.9768,A0A1E3M554,Q9HAC7,,SUGCT,9606
AF-A0A1E3M5V6-F1-model_v4,AF-P45954-2-F1-model_v6,0.319,329,220,3,50,377,1,326,2.0890000000000002e-26,1262,0.9765,A0A1E3M5V6,P45954,,ACADSB,9606
AF-A0A0E1JGH6-F1-model_v4,AF-Q9NR19-2-F1-model_v6,0.51,689,286,9,1,642,25,708,1.039e-97,3719,0.9762,A0A0E1JGH6,Q9NR19,acs,ACSS2,9606
AF-A0A1E3M8M3-F1-model_v4,AF-P45954-F1-model_v6,0.305,373,257,2,6,378,60,430,2.833e-30,1465,0.9761,A0A1E3M8M3,P45954,,ACADSB,9606
AF-A0A081H4N6-F1-model_v4,AF-P24752-F1-model_v6,0.42,392,217,5,2,389,40,425,2.1199999999999998e-51,1832,0.976,A0A081H4N6,P24752,,ACAT1,9606
AF-A0A1E3M726-F1-model_v4,AF-Q9Y2G4-4-F1-model_v6,0.216,60,47,0,188,247,101,160,0.259,109,0.9758,A0A1E3M726,Q9Y2G4,,ANKRD6,9606
AF-V5VEW0-F1-model_v4,AF-Q8N4T8-2-F1-model_v6,0.303,178,120,2,16,193,5,178,1.883e-15,605,0.9757,V5VEW0,Q8N4T8,,CBR4,9606
AF-A0A1E3M6G7-F1-model_v4,AF-O94788-F1-model_v6,0.367,479,293,7,7,475,35,513,4.1790000000000004e-58,2165,0.9754,A0A1E3M6G7,O94788,,ALDH1A2,9606
AF-A0A1E3M712-F1-model_v4,AF-Q8N4T8-2-F1-model_v6,0.327,183,119,2,9,191,1,179,7.836e-15,586,0.9753,A0A1E3M712,Q8N4T8,,CBR4,9606
AF-V5V9V4-F1-model_v4,AF-Q8N4T8-2-F1-model_v6,0.281,181,128,1,8,188,1,179,1.938e-15,588,0.9752,V5V9V4,Q8N4T8,fabG_9,CBR4,9606
AF-A0A1E3MAI4-F1-model_v4,AF-Q8N4T8-2-F1-model_v6,0.322,183,120,2,4,186,1,179,1.253e-17,655,0.9748,A0A1E3MAI4,Q8N4T8,,CBR4,9606
AF-A0A0G4QV38-F1-model_v4,AF-P45954-2-F1-model_v6,0.328,329,219,2,50,378,1,327,1.581e-26,1225,0.9746,A0A0G4QV38,P45954,,ACADSB,9606
AF-V5VEC1-F1-model_v4,AF-Q96CM8-2-F1-model_v6,0.433,560,309,5,6,558,83,640,3.8930000000000003e-84,3023,0.9744,V5VEC1,Q96CM8,fadD_2,ACSF2,9606
AF-A0A1E3M6G7-F1-model_v4,AF-O94788-4-F1-model_v6,0.381,417,252,5,65,475,1,417,1.1919999999999999e-51,1888,0.9742,A0A1E3M6G7,O94788,,ALDH1A2,9606
AF-A0A0H4UDC0-F1-model_v4,AF-Q9UKS6-F1-model_v6,0.133,75,62,1,104,178,143,214,1.097,99,0.9741,A0A0H4UDC0,Q9UKS6,adeF,PACSIN3,9606
AF-A0A1E3M5V6-F1-model_v4,AF-P28330-F1-model_v6,0.415,383,220,3,1,381,50,430,6.652e-37,1787,0.9741,A0A1E3M5V6,P28330,,ACADL,9606
AF-V5V9J2-F1-model_v4,AF-Q8TCC3-3-F1-model_v6,0.232,56,43,0,2,57,65,120,0.001643,169,0.9738,V5V9J2,Q8TCC3,rpmD,MRPL30,9606
AF-A0A098SI56-F1-model_v4,AF-O94788-3-F1-model_v6,0.358,486,302,7,3,484,17,496,6.666e-59,2295,0.9733,A0A098SI56,O94788,,ALDH1A2,9606
AF-A0A1E3M575-F1-model_v4,AF-O94788-4-F1-model_v6,0.374,425,254,5,75,495,1,417,2.463e-48,1768,0.9729,A0A1E3M575,O94788,,ALDH1A2,9606
AF-V5VHN7-F1-model_v4,AF-Q8N4T8-2-F1-model_v6,0.363,179,114,0,4,182,1,179,3.056e-17,624,0.9729,V5VHN7,Q8N4T8,fabG,CBR4,9606
AF-A0A1E3M712-F1-model_v4,AF-Q8N4T8-F1-model_v6,0.33,242,151,4,11,252,3,233,4.214e-23,905,0.9727,A0A1E3M712,Q8N4T8,,CBR4,9606
AF-A0A335SUX6-F1-model_v4,AF-P21953-F1-model_v6,0.357,341,199,5,2,339,69,392,5.696e-35,1307,0.9726,A0A335SUX6,P21953,,BCKDHB,9606
AF-V5V9J2-F1-model_v4,AF-Q8TCC3-2-F1-model_v6,0.232,56,43,0,2,57,95,150,0.002661,162,0.9726,V5V9J2,Q8TCC3,rpmD,MRPL30,9606
AF-A0A059ZC72-F1-model_v4,AF-P45954-F1-model_v6,0.333,387,253,3,3,388,49,431,7.629e-33,1592,0.9724,A0A059ZC72,P45954,,ACADSB,9606
AF-A0A0G4QV38-F1-model_v4,AF-P45954-F1-model_v6,0.309,378,258,3,1,378,55,429,3.46e-30,1411,0.972,A0A0G4QV38,P45954,,ACADSB,9606
AF-A0A1E3M5V6-F1-model_v4,AF-P45954-F1-model_v6,0.307,377,257,3,2,377,55,428,1.4370000000000001e-30,1464,0.972,A0A1E3M5V6,P45954,,ACADSB,9606
AF-A0A098SI56-F1-model_v4,AF-Q9H2A2-F1-model_v6,0.342,482,310,5,1,478,8,486,7.461e-57,2198,0.9719,A0A098SI56,Q9H2A2,,ALDH8A1,9606
AF-V5VEC1-F1-model_v4,AF-Q96CM8-4-F1-model_v6,0.441,455,247,4,110,558,2,455,8.223e-63,2142,0.9716,V5VEC1,Q96CM8,fadD_2,ACSF2,9606
AF-A0A059ZC72-F1-model_v4,AF-Q9UKU7-3-F1-model_v6,0.281,327,229,5,48,373,2,323,5.714000000000001e-26,1236,0.9716,A0A059ZC72,Q9UKU7,,ACAD8,9606
AF-A0A1E3M9H5-F1-model_v4,AF-Q8N465-2-F1-model_v6,0.342,222,138,3,1,222,57,270,6.475e-23,819,0.9716,A0A1E3M9H5,Q8N465,,D2HGDH,9606
AF-A0A1E3MAI4-F1-model_v4,AF-Q8N4T8-F1-model_v6,0.337,243,151,4,4,246,1,233,1.278e-24,916,0.9713,A0A1E3MAI4,Q8N4T8,,CBR4,9606
AF-A0A098SI56-F1-model_v4,AF-O94788-F1-model_v6,0.354,488,305,7,1,484,36,517,3.213e-58,2265,0.9711,A0A098SI56,O94788,,ALDH1A2,9606
AF-A0A1E3M9H5-F1-model_v4,AF-Q8N465-3-F1-model_v6,0.346,222,143,2,1,222,57,276,5.368e-24,865,0.971,A0A1E3M9H5,Q8N465,,D2HGDH,9606
AF-A0A1E3MAP0-F1-model_v4,AF-Q9H2A2-F1-model_v6,0.345,486,311,4,1,482,4,486,9.018e-58,2175,0.9709,A0A1E3MAP0,Q9H2A2,betB,ALDH8A1,9606
AF-A0A0G4QV38-F1-model_v4,AF-Q9UKU7-F1-model_v6,0.296,378,261,5,1,377,39,412,1.457e-28,1333,0.9706,A0A0G4QV38,Q9UKU7,,ACAD8,9606
AF-V5VHN7-F1-model_v4,AF-Q8N4T8-F1-model_v6,0.378,238,143,2,4,241,1,233,3.6640000000000003e-28,1015,0.9706,V5VHN7,Q8N4T8,fabG,CBR4,9606
AF-V5VAW7-F1-model_v4,AF-Q5T6F2-F1-model_v6,0.424,33,19,0,7,39,55,87,2.403,72,0.9703,V5VAW7,Q5T6F2,tsf,UBAP2,9606
AF-A0A1E3M2J2-F1-model_v4,AF-P05165-3-F1-model_v6,0.437,446,242,6,1,439,62,505,1.249e-54,2231,0.9702,A0A1E3M2J2,P05165,,PCCA,9606
AF-A0A1E3MAP0-F1-model_v4,AF-O94788-F1-model_v6,0.406,490,282,4,3,488,34,518,5.777e-61,2340,0.9702,A0A1E3MAP0,O94788,betB,ALDH1A2,9606
AF-A0A098SI56-F1-model_v4,AF-P05091-F1-model_v6,0.354,488,305,7,1,484,35,516,1.463e-58,2268,0.9702,A0A098SI56,P05091,,ALDH2,9606
AF-A0A059ZC72-F1-model_v4,AF-Q9UKU7-2-F1-model_v6,0.302,268,180,4,121,387,26,287,6.231e-20,938,0.9701,A0A059ZC72,Q9UKU7,,ACAD8,9606
AF-A0A1E3MAP0-F1-model_v4,AF-O94788-3-F1-model_v6,0.404,490,285,2,2,488,12,497,1.7289999999999998e-61,2363,0.9701,A0A1E3MAP0,O94788,betB,ALDH1A2,9606
AF-V5VAW7-F1-model_v4,AF-Q14157-1-F1-model_v6,0.454,33,18,0,7,39,52,84,2.696,71,0.97,V5VAW7,Q14157,tsf,UBAP2L,9606
AF-A0A1L5TLA1-F1-model_v4,AF-Q9UKU7-F1-model_v6,0.298,379,258,6,8,385,41,412,5.906e-28,1317,0.97,A0A1L5TLA1,Q9UKU7,,ACAD8,9606
AF-A0A1E3M6G7-F1-model_v4,AF-P05091-F1-model_v6,0.345,484,304,8,5,475,29,512,2.435e-57,2120,0.9698,A0A1E3M6G7,P05091,,ALDH2,9606
AF-A0A0H4UB89-F1-model_v4,AF-Q9UKU7-2-F1-model_v6,0.319,263,174,3,128,389,26,284,2.0470000000000003e-20,962,0.9698,A0A0H4UB89,Q9UKU7,,ACAD8,9606
AF-A0A1E3M6G7-F1-model_v4,AF-O94788-3-F1-model_v6,0.366,480,292,8,6,475,15,492,6.013e-59,2187,0.9697,A0A1E3M6G7,O94788,,ALDH1A2,9606
AF-A0A0G4QV38-F1-model_v4,AF-Q9UKU7-3-F1-model_v6,0.295,325,225,4,42,365,2,323,7.803999999999999e-24,1094,0.9695,A0A0G4QV38,Q9UKU7,,ACAD8,9606
AF-A0A086I2J6-F1-model_v4,AF-P23526-2-F1-model_v6,0.555,430,163,7,33,460,1,404,1.5239999999999998e-54,2137,0.969,A0A086I2J6,P23526,ahcY,AHCY,9606
AF-V5V9V4-F1-model_v4,AF-Q6IAN0-F1-model_v6,0.34,264,167,1,7,263,50,313,2.475e-28,1075,0.9686,V5V9V4,Q6IAN0,fabG_9,DHRS7B,9606
AF-A0A1E3MAP0-F1-model_v4,AF-P05091-F1-model_v6,0.416,490,277,4,3,488,33,517,3.268e-62,2375,0.9682,A0A1E3MAP0,P05091,betB,ALDH2,9606
AF-A0A1E3M951-F1-model_v4,AF-Q6P587-1-F1-model_v6,0.336,208,134,2,5,212,17,220,3.686e-25,977,0.968,A0A1E3M951,Q6P587,,FAHD1,9606
AF-A0A1E3M8M3-F1-model_v4,AF-Q9UKU7-2-F1-model_v6,0.334,266,173,3,115,379,26,288,2.311e-21,1007,0.9678,A0A1E3M8M3,Q9UKU7,,ACAD8,9606
AF-A0A1E3M8M3-F1-model_v4,AF-P16219-F1-model_v6,0.312,378,257,2,1,378,34,408,1.239e-29,1421,0.9677,A0A1E3M8M3,P16219,,ACADS,9606
AF-A0A1E3MBE7-F1-model_v4,AF-Q9H0R6-2-F1-model_v6,0.403,265,134,6,4,246,1,263,9.667999999999999e-23,897,0.9676,A0A1E3MBE7,Q9H0R6,gatA,QRSL1,9606
AF-V5V8Q5-F1-model_v4,AF-P42357-2-F1-model_v6,0.436,479,262,4,1,474,114,589,4.1379999999999995e-45,2145,0.9676,V5V8Q5,P42357,hutH,HAL,9606
AF-A0A1E3MCJ3-F1-model_v4,AF-P05091-F1-model_v6,0.311,478,319,5,14,482,38,514,1.023e-53,1966,0.9675,A0A1E3MCJ3,P05091,gabD,ALDH2,9606
AF-A0A1E3M575-F1-model_v4,AF-O94788-F1-model_v6,0.353,486,300,6,16,495,36,513,7.91e-55,2034,0.9674,A0A1E3M575,O94788,,ALDH1A2,9606
AF-A0A0H4UB89-F1-model_v4,AF-P45954-2-F1-model_v6,0.304,328,223,4,64,389,1,325,4.638000000000001e-25,1188,0.9674,A0A0H4UB89,P45954,,ACADSB,9606
AF-A0A090BAW5-F1-model_v4,AF-Q9H2A2-F1-model_v6,0.336,484,309,6,2,475,6,487,1.814e-56,2047,0.9674,A0A090BAW5,Q9H2A2,ydcW,ALDH8A1,9606
AF-A0A1E3MB35-F1-model_v4,AF-Q8N4T8-2-F1-model_v6,0.284,183,126,2,6,188,2,179,6.129e-14,546,0.9672,A0A1E3MB35,Q8N4T8,,CBR4,9606
AF-A0A1E3MBE7-F1-model_v4,AF-Q9H0R6-F1-model_v6,0.378,499,283,7,4,477,1,497,9.799e-52,2062,0.9672,A0A1E3MBE7,Q9H0R6,gatA,QRSL1,9606
AF-A0A1E3M787-F1-model_v4,AF-Q8N4T8-2-F1-model_v6,0.275,178,129,0,1,178,1,178,5.224e-15,553,0.9671,A0A1E3M787,Q8N4T8,,CBR4,9606
AF-A0A1L5TLA1-F1-model_v4,AF-Q9UKU7-3-F1-model_v6,0.287,327,225,6,46,371,2,321,5.645e-23,1067,0.967,A0A1L5TLA1,Q9UKU7,,ACAD8,9606
AF-A0A059ZI64-F1-model_v4,AF-Q8NFD2-F1-model_v6,0.321,193,126,2,30,222,497,684,3.404e-09,507,0.9661,A0A059ZI64,Q8NFD2,,ANKK1,9606
AF-V5VC63-F1-model_v4,AF-O94788-4-F1-model_v6,0.419,429,237,7,75,499,1,421,2.228e-49,1859,0.9658,V5VC63,O94788,acoD,ALDH1A2,9606
AF-A0A1E3M558-F1-model_v4,AF-Q6JQN1-F1-model_v6,0.533,405,177,4,4,403,659,1056,3.051e-40,1984,0.9657,A0A1E3M558,Q6JQN1,,ACAD10,9606
AF-A0A1E3MAM4-F1-model_v4,AF-Q96C23-F1-model_v6,0.38,363,200,10,21,380,2,342,4.4799999999999995e-41,1691,0.9656,A0A1E3MAM4,Q96C23,,GALM,9606
